filename,Block_No,Seq_num,pageno,toppage,top,left,height,width,fonts_type,fonts_size,Text
e11,1,1,1,50,95,178,6,244,GulliverRM,6,European Research on Management and Business Economics 22 (2016) 162–166
e11,2,2,1,50,177,248,7,108,Univers,7,w w w . e l s e v i e r . e s / e r m b e
e11,3,3,1,50,225,40,30,362,GulliverRM,13,Analyzing the determinants of the voting behavior usinga genetic algorithm
e11,4,4,1,50,265,40,13,410,GulliverRM,10,Marcos Vizcaíno-González
e11,4,5,1,50,265,40,13,410,GulliverRM,7,a
e11,4,6,1,50,265,40,13,410,OnemtmiguAAAA,7,","
e11,4,7,1,50,265,40,13,410,MTSY,7,∗
e11,4,8,1,50,265,40,13,410,GulliverRM,10,", Juan Pineiro-Chousa"
e11,4,9,1,50,265,40,13,410,GulliverRM,7,b
e11,4,10,1,50,265,40,13,410,GulliverRM,10,", M. Ángeles López-Cabarcos"
e11,4,11,1,50,265,40,13,410,GulliverRM,7,c
e11,5,12,1,50,285,40,24,457,GulliverRM,4,a
e11,5,13,1,50,285,40,24,457,GulliverIT,6,"Department of Financial Economics and Accounting, University of A Coruna, Facultad de Economía y Empresa, Campus de Elvina, s/n, 15071 A Coruna, Spain"
e11,5,14,1,50,285,40,24,457,GulliverRM,4,b
e11,5,15,1,50,285,40,24,457,GulliverIT,6,"Department of Financial Economics and Accounting, University of Santiago de Compostela, Facultad de ADE, Avda. Alfonso X el Sabio, s/n, 27002 Lugo, Spain"
e11,5,16,1,50,285,40,24,457,GulliverRM,4,c
e11,5,17,1,50,285,40,24,457,GulliverIT,6,"Department of Business Administration, University of Santiago de Compostela, Facultad de ADE, Avda. Alfonso X el Sabio, s/n, 27002 Lugo, Spain"
e11,6,18,1,50,332,40,8,54,GulliverSCOsF,8,a r t i c l e
e11,7,19,1,50,332,105,8,30,GulliverSCOsF,8,i n f o
e11,8,20,1,50,332,207,8,65,GulliverSCOsF,8,a b s t r a c t
