pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
1,95,6,0,1,0,0,0,0,0,0,0,0,HF,European Research on Management and Business Economics 22 (2016) 162–166,e11
1,177,7,0,0,0,0,0,0,0,0,0,0,AFF,w w w . e l s e v i e r . e s / e r m b e,e11
1,225,13,0,0,0,0,0,0,0,0,0,0,TI,Analyzing the determinants of the voting behavior usinga genetic algorithm,e11
1,265,10,0,0,0,0,0,0,0,0,0,0,AU,Marcos Vizcaíno-González,e11
1,265,7,0,0,0,0,0,0,0,0,0,0,HF,a,e11
1,265,7,0,0,0,0,0,0,0,0,0,0,HF,",",e11
1,265,7,0,0,0,0,0,0,0,0,0,0,HF,∗,e11
1,265,10,0,0,0,0,0,0,0,0,0,0,AU,", Juan Pineiro-Chousa",e11
1,265,7,0,0,0,0,0,0,0,0,0,0,HF,b,e11
1,265,10,0,0,0,0,0,0,0,0,0,0,AU,", M. Ángeles López-Cabarcos",e11
1,265,7,0,0,0,0,0,0,0,0,0,0,HF,c,e11
1,285,4,0,0,0,0,0,0,0,0,0,0,BODY,a,e11
1,285,6,0,0,0,0,0,0,0,0,1,0,BODY,"Department of Financial Economics and Accounting, University of A Coruna, Facultad de Economía y Empresa, Campus de Elvina, s/n, 15071 A Coruna, Spain",e11
1,285,4,0,0,0,0,0,0,0,0,0,0,BODY,b,e11
1,285,6,0,0,0,0,0,0,0,0,1,0,BODY,"Department of Financial Economics and Accounting, University of Santiago de Compostela, Facultad de ADE, Avda. Alfonso X el Sabio, s/n, 27002 Lugo, Spain",e11
1,285,4,0,0,0,0,0,0,0,0,0,0,BODY,c,e11
1,285,6,0,0,0,0,0,0,0,0,1,0,BODY,"Department of Business Administration, University of Santiago de Compostela, Facultad de ADE, Avda. Alfonso X el Sabio, s/n, 27002 Lugo, Spain",e11
1,332,8,0,0,0,0,0,0,0,0,0,0,HF,a r t i c l e,e11
1,332,8,0,0,0,0,0,0,0,0,0,0,HF,i n f o,e11
1,332,8,0,0,0,0,0,0,0,0,0,0,HF,a b s t r a c t,e11
1,355,7,0,0,0,0,0,0,0,0,0,0,BODY,"Using data about votes emitted by funds in meetings held by United States banks from 2003 to 2013,we apply a genetic algorithm to a set of ﬁnancial variables in order to detect the determinants of thevote direction. Our ﬁndings indicate that there are three main explanatory factors: the market valueof the ﬁrm, the shareholder activism measured as the total number of funds voting, and the temporalcontext, which reﬂects the inﬂuence of recent critical events affecting the banking industry, includingbankruptcies, reputational failures, and mergers and acquisitions. As a result, considering that votingbehavior has been empirically linked to reputational harms, these ﬁndings can be considered as a usefulinsight about the keys that should be taken into account in order to achieve an effective reputational riskmanagement strategy.",e11
1,442,7,0,0,0,0,0,0,0,0,0,0,BODY,"© 2015 AEDEM. Published by Elsevier España, S.L.U. This is an open access article under the CCBY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",e11
1,354,6,0,0,0,0,0,0,0,0,1,0,BODY,Article history:,e11
1,354,6,0,0,0,0,0,0,0,0,0,0,HF,Received 10 June 2015Accepted 14 November 2015Available online 10 February 2016,e11
1,400,6,0,0,0,0,0,0,0,0,1,0,KW,JEL classiﬁcation:,e11
1,400,6,0,0,0,0,0,0,0,0,0,0,BODY,G01G32G34,e11
1,442,6,0,0,0,0,0,0,0,0,1,0,KW,Keywords:,e11
1,442,6,0,0,0,0,0,0,0,0,0,0,KW,Genetic algorithmVoting behaviorBanking industryUnited States,e11
1,516,7,0,0,0,0,0,0,0,0,0,0,BODY,1. Introduction,e11
1,539,7,0,0,0,0,0,0,0,0,0,0,HF,"The voting behavior disclosed by shareholders in corporatemeetings is a key concern for researchers into the corporategovernance ﬁeld. Actually, many investigations have been car-ried out regarding the motivations of the vote direction (Choi,Fisch, & Kahan, 2008), as well as its effects (Becker, Bergstresser,& Subramanian, 2013; Fischer, Gramlich, Miller, & White, 2009),including its connection with shareholder wealth (DeAngelo &DeAngelo, 1989; Dodd & Warner, 1983; Mulherin & Poulsen, 1998)and corporate reputation (Bernile & Jarrell, 2009; Ertimur, Ferri, &Maber, 2012; Ferri & Maber, 2013).",e11
