filename,top,Text
e1,536,1 Introduction
e1,1005,2 Specific problems of the Computer Structure and Architecture sub-module
e1,1696,3 Global context
e1,3303,4 Project design
e1,4990,5 Conclusions
e10,509,1. Introduction
e10,1133,2. Materials and methods
e10,1978,3. Results and discussion
e10,3834,4. Conclusions
e11,1257,"Beyond the reported calculations, no additional data transfor-"
e14,1192,2. Related Work
e14,2100,3. Proposed Similarity Measure: CjacMD
e14,2608,"To give more signiﬁcance to the co-rated items, we have added Jaccard similarity in our model. The Jaccard similaritybetween a two users is deﬁned as Eqs. 2:"
e14,3284,4. Experiments
e15,949,"lently bonded to the surface and remains bound in the presence ofseveral electrolytes [22,23]. and 1.0 mL of the supernatant was placed into polyethylene vial,which was sealed and put into an irradiation rabbit suitable for usein the reactor. The same procedure was performed with 10.0 mL ofaqueous nitric acid (0.1 mol L HNO ). Samples were prepared induplicate and irradiated individually for ﬁve minutes in the reac-tor at 100 kW under a thermal neutron ﬂux of 6.6 × 10 neutronscm s for determination by -INAA. The standards used as Nacomparators were also irradiated for 5 min."
e15,1301,"Chromatographic evaluations of column performances undernormal phase conditions were carried out with a mixture ofbenzene, benzyl alcohol, anthracene, benzonitrile and nitro-naphthalene using a modular HPLC from Waters (Milford, USA)composed of a Waters 510 pump, a Rheodyne 7125 injection valve(Cotati, USA) with sample loop of 5 (cid:2) L and a Waters 486 UV-Visdetector at 254 nm. The test mixture was separated with a hexane-dichloromethane (95:5 (v/v)) mobile phase. The optimal ﬂow-ratewas determined by a van Deemter plot. Data collection and treat-ment were carried out with Chrom Perfect for Windows fromJustice Innovations (Mountain View, USA). Chromatographic per-formance was evaluated by means of efﬁciency (plates per meter,calculated at half peak height (N/m)), reduced plate height (h),retention factor ( ), resolution (Rs) and asymmetry (As) measuredat 10% of peak height [26]."
e15,2890,"0,8"
e17,455,Available online 2 February 2017
e17,456,"These mixtures of SMS namely, SMS1 (wheat straw), SMS2 (wheat straw 70%, sawdust 20%"
e17,467,"and date palm ﬁber 10%) and SMS3 (wheat straw 50%, sawdust 30% and date palm ﬁber"
e17,1019,2.2. Oyster mushroom strains
e17,1226,2.4. Statistical analysis
e17,1353,3.1. Physical properties of agro-substrates
e17,1547,2.1. Agro-substrates 3.2. Chemical properties of agro-substrates
e17,2050,3.3. Physical properties of SMS
e17,2890,"[4] Wu J-Z, Cheung PCK, Wong K-H, Huang N-L. Studies on"
e18,2890,"The most evident effect of Triton-X114 concentration on theextraction process was the variation of the volume of aqueousphase recovered after the emulsion breaking. The volume ofaqueous phase separated after the emulsion breaking decreasedwith the increase of the surfactant concentration (Fig. 3). Probably,the increase of the concentration of Triton X-114 leads to theformation of more stable emulsions, which were more dif ﬁ cult tobreak in the centrifugation conditions employed in the experi-ment. So, in order to evaluate the effect of the concentration ofTriton X-114 on the extraction ef ﬁ ciency, the analytical signalswere corrected by multiplying by a factor that takes into accountthe volume of aqueous phase recovered in each experiment."
e18,3756,4. Analytical features of the developed methodology
e21,452,KEYWORDS
e21,595,Introduction
e21,1007,Related work
e21,1032,Social media recommendations
e21,1508,Content-based recommendations
e21,2127,Challenges
e21,2425,Objective of the paper
e21,2427,Distributed or centralised data
e21,2691,Data mining
e21,2903,Multimodal interface
e21,3479,Conclusion
e21,3636,References
e21,3707,Table 3
e22,464,Keywords: Audit committeesFinancial distressFinancial performanceFinancial institutions
e22,1802,2 Literature review and hypothesis development
e22,2688,3 Research Design and Methodology
e22,2711,3.1. Sample 3.2 Operationalisation of variables
e22,3838,Table 2 - Comparison of means and BDL requirements.
e23,2878,Average expense
e24,973,2 The understanding and the use of Big Data
e24,2002,In the academic field Big Data can be accepted as a new concept. The analysis of the Big Data topic has been
e24,3364,4 The main problems with Big Data
e25,474,1. Introduction
e25,1557,ﬁ
e26,456,identi ﬁ ed proteins With 375 con ﬁ dently
e26,949,"As proof-of-concept we monitored tears of a severe case ofkeratoconjunctivitis sicca before and after surgical treatment.Keratoconjunctivitis sicca, or dry eye syndrome is a very complexmultifactorial disease [7], which, as the name indicates, in virtuallyall cases results in reduced tear volume production, which isreported to be associated with a decreased general lacrimal proteinsecretion. Very severe cases are uniquely treated by autotrans-plantation of a minor salivary gland into the eye, a techniqueoriginally introduced by Prof. J. Murube and perfectionized overthe past ten years [5]. The rationale behind a proteomics analysis ofclinically sampled tears is that comparative protein compositionanalysis of tears from diseased versus treated and/or healthy eyes,may yield medically relevant information regarding both theeffectiveness of the treatment and the possible disease etiology."
e26,1106,2 Materials and methods
e27,1004,2. Experimental
e28,486,1. From MM with Inspirations
e28,1217,2. Empirical implications and test settings
e28,4067,"In all research, it is important tell a cogent story. You can tell a story at least in two ways: use some algebra to tell thestory, or use words to tell your story. Either can work. However, often, a little math can help. So, do your algebra properly."
